"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E",NA,"","<10",NA,"2016-11-15 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","31",NA,"2016-11-15 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","31",NA,"2016-11-15 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","20",NA,"2016-11-14 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","241",NA,"2016-11-14 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","158",NA,"2016-11-14 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","<10",NA,"2016-11-07 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","<10",NA,"2016-11-07 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","<10",NA,"2016-11-07 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","41",NA,"2016-10-31 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","98",NA,"2016-10-31 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","31",NA,"2016-10-31 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","<10",NA,"2016-10-24 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","<10",NA,"2016-10-24 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","10",NA,"2016-10-24 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","10",NA,"2016-10-18 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","216",NA,"2016-10-18 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","<10",NA,"2016-10-18 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","464",NA,"2016-10-17 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","5475",NA,"2016-10-17 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","41",NA,"2016-10-17 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","<10",NA,"2016-10-11 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","<10",NA,"2016-10-11 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","10",NA,"2016-10-11 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","<10",NA,"2016-10-03 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","<10",NA,"2016-10-03 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","<10",NA,"2016-10-03 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","<10",NA,"2016-09-26 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","31",NA,"2016-09-26 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","30",NA,"2016-09-26 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","<10",NA,"2016-09-19 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","<10",NA,"2016-09-19 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","<10",NA,"2016-09-19 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","<10",NA,"2016-09-12 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","<10",NA,"2016-09-12 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","<10",NA,"2016-09-12 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","10",NA,"2016-09-06 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","20",NA,"2016-09-06 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","<10",NA,"2016-09-06 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","41",NA,"2016-08-29 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL",NA,"","84",NA,"2016-08-29 00:00:00.0","BAY#202.4_SL"
"ENTERO",NA,"","41",NA,"2016-08-29 00:00:00.0","BAY#202.4_SL"
"COLI_E",NA,"","10",NA,"2016-11-14 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","85",NA,"2016-11-14 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","20",NA,"2016-11-14 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","<10",NA,"2016-11-07 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","10",NA,"2016-11-07 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","<10",NA,"2016-11-07 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","10",NA,"2016-10-31 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","109",NA,"2016-10-31 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","10",NA,"2016-10-31 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","<10",NA,"2016-10-24 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","<10",NA,"2016-10-24 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","10",NA,"2016-10-24 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","243",NA,"2016-10-17 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","4106",NA,"2016-10-17 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","20",NA,"2016-10-17 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","<10",NA,"2016-10-11 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","41",NA,"2016-10-11 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","10",NA,"2016-10-11 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","<10",NA,"2016-10-03 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","10",NA,"2016-10-03 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","<10",NA,"2016-10-03 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","20",NA,"2016-09-26 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","20",NA,"2016-09-26 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","<10",NA,"2016-09-26 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","<10",NA,"2016-09-19 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","<10",NA,"2016-09-19 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","<10",NA,"2016-09-19 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","10",NA,"2016-09-12 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","20",NA,"2016-09-12 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","<10",NA,"2016-09-12 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","<10",NA,"2016-09-06 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","<10",NA,"2016-09-06 00:00:00.0","BAY#202.5_SL"
"ENTERO",NA,"","<10",NA,"2016-09-06 00:00:00.0","BAY#202.5_SL"
"COLI_E",NA,"","<10",NA,"2016-08-29 00:00:00.0","BAY#202.5_SL"
"COLI_TOTAL",NA,"","10",NA,"2016-08-29 00:00:00.0","BAY#202.5_SL"
