"ANALYTE","COLOR","CSO","DATA","POSTED","SAMPLE_DATE","SOURCE"
"COLI_E","",NA,"10","","2016-03-21 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"10","","2016-03-21 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-03-21 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"31","","2016-03-14 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"173","","2016-03-14 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"10","","2016-03-14 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-03-08 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"72","","2016-03-08 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-03-08 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"379","","2016-03-07 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"602","","2016-03-07 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"435","","2016-03-07 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-02-29 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"31","","2016-02-29 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-02-29 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"10","","2016-02-22 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"20","","2016-02-22 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-02-22 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-02-16 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"<10","","2016-02-16 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"10","","2016-02-16 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-02-08 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"10","","2016-02-08 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-02-08 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"20","","2016-02-01 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"20","","2016-02-01 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"<10","","2016-02-01 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"<10","","2016-01-25 00:00:00.0","BAY#202.4_SL"
"COLI_TOTAL","",NA,"41","","2016-01-25 00:00:00.0","BAY#202.4_SL"
"ENTERO","",NA,"20","","2016-01-25 00:00:00.0","BAY#202.4_SL"
"COLI_E","",NA,"20","","2016-01-20 00:00:00.0","BAY#202.4_SL"
